Position;Name;uniqueId;Info;infoAboutMusic;createTime;followerCount;followingCount; heart; videoCount; diggCount;commentSetting; duetSetting; stitchSetting;LikesPerVideo;year
1;Will Smith;willsmith;Same kid from West Philly.;0;1567819878;56700000;24;347200000;82;0;0;0;0;4234146;2021
2;Loren Gray;lorengray;angels;0;1435203834;52700000;226;2800000000;2843;0;0;0;0;984875;2021
3;Jason Derulo;jasonderulo;“Jalebi Baby” out now Booking Frank@23-management.com Fans text 9547585312;1;1450163607;46800000;15;1100000000;705;0;0;0;0;1560284;2021
4;BTS;bts_official_bighit;This is Official TikTok for BTS. 방탄소년단 공식 틱톡입니다.;0;1568624114;36800000;0;620500000;43;275;0;0;0;14430233;2021
5;Lilhuddy;lilhuddy;America’s Sweetheart out now !!;1;1449121745;31300000;8555;1600000000;4205;0;0;0;0;380499;2021
6;Selena Gomez;selenagomez;REVELACIÓN is out now: http://smarturl.it/REVELACIONSG;1;1463644662;28400000;17;85900000;42;0;0;0;0;2045238;2021
7;Billie Eilish;billieeilish;19;0;1601803658;30500000;0;134400000;8;0;0;0;0;16800000;2021
8;Ariana Grande;arianagrande;positions out now 🤍;1;1464051397;25100000;0;74800000;22;0;0;0;0;3400000;2021
9;Justin Bieber;justinbieber;JUSTICE the album out now;1;1575853058;21900000;11;75700000;24;0;0;0;0;3154167;2021
10;Karol Sevilla;karolsevillaokay;Cumple tu sueño ❤️ Soñar es gratis 😏;0;1526336793;21000000;140;210900000;280;0;0;0;0;753214;2021
11;McKenzie Ziegler;mackenzieziegler;Watch Mackenzie Ziegler's trending TikTok music, hashtags, songs and more. don’t take my tiktok seriously;0;1439354363;21000000;358;352800000;336;0;0;0;0;1050000;2021
12;Marshmello;marshmellomusic;SHOCKWAVE out now!;1;1474361662;22400000;289;182200000;376;2805;0;0;0;484574;2021
